"Site","Activity","Square","depth","soil_volume_cm3","soil_dens_g.cm3","soil_g","charcoal_wood_g","charcoal_endo_g","ceramics_g","slag_g","lithics_g","NA.","NA..1","ceramics","slag","stone","botanics","charcoal","bone","burnt.clay","soil.sample","coin","X.modern..materials","stone.numbers","stones.weight","comments"
"MUK 2018/1030/10",127,"1d",260,112500,1.3,146250,"0.7","0",0,0,0.9,NA,NA,NA,NA,1,NA,1,NA,"1",NA,NA,NA,5,"0.9",NA
"MUK 2018/1030/10",128,"1a",280,112500,1.3,146250,"0","0.2",0,0,0.1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,"0",NA
"MUK 2018/1030/10",129,"1b",280,112500,1.3,146250,"0.1","0",0,0,8.3,NA,NA,NA,NA,1,NA,1,NA,"1",NA,NA,NA,6,"8.3","""Brandlehm"" eigentlich Mineralkonzentration?"
"MUK 2018/1030/10",130,"1c",280,112500,1.3,146250,"0.4","0",0,0,0.4,NA,NA,NA,NA,1,NA,1,NA,"1",NA,NA,NA,8,"0.4",NA
"MUK 2018/1030/10",131,"1d",280,112500,1.3,146250,"0.2","0",0,0,0.3,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,8,"0.3",NA
"MUK 2018/1030/10",132,"1a",300,112500,1.3,146250,"0.1","0",0,0,0.4,NA,NA,NA,NA,1,NA,1,NA,"1",NA,NA,NA,10,"0.4",NA
"MUK 2018/1030/10",133,"1b",300,112500,1.3,146250,"1.5","0",0,0,5.4,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,7,"5.4",NA
"MUK 2018/1030/10",134,"1c",300,112500,1.3,146250,"0.4","0",0,0,62.8,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,11,"62.8",NA
"MUK 2018/1030/10",135,"1d",300,112500,1.3,146250,"42.6","0",0,0,14.9,NA,NA,NA,NA,1,NA,1,NA,"1",NA,NA,NA,23,"14.9",NA
"MUK 2018/1030/10",136,"1a",320,112500,1.3,146250,"0.2","0.1",0,0,16.5,NA,NA,NA,NA,1,NA,1,NA,"1",NA,NA,NA,24,"16.5",NA
"MUK 2018/1030/10",137,"1b",320,112500,1.3,146250,"0.1","0.1",0,0,58.7,NA,NA,NA,NA,1,NA,1,NA,"1",NA,NA,NA,29,"58.7","""Brandlehm""??? // Verfärbung"
"MUK 2018/1030/10",138,"1a",340,112500,1.3,146250,"0.8","0.1",0,0,4.1,NA,NA,NA,NA,1,NA,1,NA,"1",NA,NA,NA,61,"4.1",NA
"MUK 2018/1030/10",139,"1b",340,112500,1.3,146250,"0.1","0",0,0,0.7,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,16,"0.7",NA
"MUK 2018/1030/10",143,"1a",360,112500,1.3,146250,"0.3","0",0,0,83.9,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,47,">83,9",NA
"MUK 2018/1030/10",144,"1b",360,112500,1.3,146250,"3","0",0,0,2.2,NA,NA,NA,NA,1,NA,1,NA,"1",NA,NA,NA,28,"2.2",NA
"MUK 2018/1030/10",160,"1a",380,1570.7963267949,1.3,2042.03522483337,"0","0",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",161,"1a",400,1570.7963267949,1.3,2042.03522483337,"0","0",0,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,9,"1",NA
"MUK 2018/1030/10",162,"1a",420,1570.7963267949,1.3,2042.03522483337,"0","0",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",163,"1a",440,1570.7963267949,1.3,2042.03522483337,"0.1","0",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",164,"1a",460,1570.7963267949,1.3,2042.03522483337,"0","0",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",165,"1a",480,1570.7963267949,1.3,2042.03522483337,"0.1","0",0,0,0.7,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,0,"0.7","Kortex"
"MUK 2018/1030/10",166,"1a",500,1570.7963267949,1.3,2042.03522483337,"0","0",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",167,"1a",520,1570.7963267949,1.3,2042.03522483337,"0","0",0,0,0.1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"0","0,9g Kortex"
"MUK 2018/1030/10",168,"1a",540,1570.7963267949,1.3,2042.03522483337,"0","0",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",169,"1a",560,1570.7963267949,1.3,2042.03522483337,"0.1","0",0,0,0.1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,0,"0","Kortex"
"MUK 2018/1030/10",170,"1a",580,1570.7963267949,1.3,2042.03522483337,"0","0",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",171,"1a",600,1570.7963267949,1.3,2042.03522483337,"0","0",0,0,0.1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,"0","Kortex"
